"name"	"taxRank"	"taxID"	"Max"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"lineage"
"FCB group><wbr>...><wbr>Dokdonia sp. PRO95"	"S"	1239415	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Dokdonia"
"FCB group><wbr>...><wbr>Flavobacteriaceae bacterium UJ101"	"S"	1150389	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>unclassified&nbsp;Flavobacteriaceae"
"FCB group><wbr>...><wbr>Myroides profundi"	"S"	480520	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Myroides"
"FCB group><wbr>...><wbr>Porphyromonas crevioricanis"	"S"	393921	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Porphyromonadaceae>Porphyromonas"
"FCB group><wbr>...><wbr>Prevotella intermedia"	"S"	28131	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae>Prevotella"
"FCB group><wbr>...><wbr>Marinifilaceae bacterium SPP2"	"S"	1717717	2	NA	NA	1	NA	2	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Marinilabiliales>Marinifilaceae>unclassified&nbsp;Marinifilaceae"
"FCB group><wbr>...><wbr>Flammeovirga sp. MY04"	"S"	1191459	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"FCB group><wbr>...><wbr>Cyclobacterium marinum DSM 745"	"-"	880070	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae>Cyclobacterium>Cyclobacterium&nbsp;marinum"
"FCB group><wbr>...><wbr>Pedobacter sp. eg"	"S"	2201271	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"Fusobacterium mortiferum><wbr>Fusobacterium mortiferum ATCC 9817"	"-"	469616	1	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium>Fusobacterium&nbsp;mortiferum"
"Fusobacterium necrophorum"	"S"	859	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium"
"Fusobacterium ulcerans"	"S"	861	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium"
"Fusobacteria><wbr>...><wbr>Leptotrichia sp. oral taxon 212"	"S"	712357	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae>Leptotrichia"
"PVC group><wbr>...><wbr>Akkermansia muciniphila"	"S"	239935	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Akkermansiaceae>Akkermansia"
"PVC group><wbr>...><wbr>Lacunisphaera limnophila"	"S"	1838286	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales>Opitutaceae>Lacunisphaera"
"Spirochaetes><wbr>...><wbr>Borrelia"	"G"	138	1	NA	NA	1	NA	1	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae"
"Borrelia miyamotoi"	"S"	47466	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borrelia"
"Spirochaetes><wbr>...><wbr>Borreliella bavariensis PBi"	"-"	290434	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Borreliaceae>Borreliella>Borreliella&nbsp;bavariensis"
"unclassified Bacteria><wbr>Vampirococcus><wbr>Vampirococcus sp. LiM"	"S"	1930593	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>unclassified&nbsp;Bacteria>Vampirococcus"
"Viruses><wbr>...><wbr>Choristoneura biennis entomopoxvirus"	"S"	10288	1	NA	NA	1	NA	NA	"Viruses>Poxviridae>Entomopoxvirinae>Betaentomopoxvirus"
"Kosakonia><wbr>Kosakonia radicincitans"	"S"	283686	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kosakonia"
"Erwiniaceae><wbr>...><wbr>Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)"	"-"	1142511	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Wigglesworthia>Wigglesworthia&nbsp;glossinidia>Wigglesworthia&nbsp;glossinidia&nbsp;endosymbiont&nbsp;of&nbsp;Glossina&nbsp;morsitans"
"Pectobacteriaceae"	"F"	1903410	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales"
"Pseudomonas fluorescens group><wbr>Pseudomonas protegens"	"S"	380021	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;fluorescens&nbsp;group"
"Acinetobacter lwoffii"	"S"	28090	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Alteromonadales><wbr>...><wbr>Marinobacter sp. CP1"	"S"	1671721	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Marinobacter"
"Alteromonadales><wbr>...><wbr>Colwellia sp. PAMC 21821"	"S"	1816219	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae>Colwellia"
"Alteromonadales><wbr>...><wbr>Ferrimonas balearica DSM 9799"	"-"	550540	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Ferrimonadaceae>Ferrimonas>Ferrimonas&nbsp;balearica"
"Pseudoxanthomonas><wbr>Pseudoxanthomonas suwonensis><wbr>Pseudoxanthomonas suwonensis 11-1"	"-"	743721	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae>Pseudoxanthomonas>Pseudoxanthomonas&nbsp;suwonensis"
"Legionellales><wbr>...><wbr>Legionella oakridgensis ATCC 33761 = DSM 21215"	"-"	1268635	1	NA	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae>Legionella>Legionella&nbsp;oakridgensis"
"Orbales><wbr>...><wbr>Frischella perrara"	"S"	1267021	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae>Frischella"
"Pasteurellales><wbr>...><wbr>Aggregatibacter aphrophilus"	"S"	732	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Aggregatibacter"
"Alphaproteobacteria><wbr>...><wbr>Bradyrhizobium sp."	"S"	376	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Alphaproteobacteria><wbr>...><wbr>Bradyrhizobium erythrophlei"	"S"	1437360	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Rhizobium phaseoli"	"S"	396	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Alphaproteobacteria><wbr>...><wbr>Shinella sp. HZN7"	"S"	879274	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Shinella"
"Alphaproteobacteria><wbr>...><wbr>Novosphingobium resinovorum"	"S"	158500	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Novosphingobium"
"Alphaproteobacteria><wbr>...><wbr>Croceicoccus naphthovorans"	"S"	1348774	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae>Croceicoccus"
"Alphaproteobacteria><wbr>...><wbr>Labrenzia alexandrii DFL-11"	"-"	244592	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Labrenzia>Labrenzia&nbsp;alexandrii"
"Betaproteobacteria><wbr>...><wbr>Achromobacter sp. MFA1 R4"	"S"	1881016	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Achromobacter"
"Massilia violaceinigra"	"S"	2045208	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Massilia"
"Helicobacteraceae><wbr>Helicobacter><wbr>Helicobacter apodemus"	"S"	135569	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Campylobacteraceae><wbr>...><wbr>Arcobacter cryaerophilus ATCC 43158"	"-"	1032070	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter>Arcobacter&nbsp;cryaerophilus"
"delta/epsilon subdivisions><wbr>...><wbr>Desulfurella acetivorans A63"	"-"	694431	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Desulfurellales>Desulfurellaceae>Desulfurella>Desulfurella&nbsp;acetivorans"
"Clostridium baratii"	"S"	1561	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium tetani E88"	"-"	212717	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;tetani"
"Clostridium perfringens"	"S"	1502	1	NA	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium perfringens F262"	"-"	883064	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;perfringens"
"Clostridiaceae><wbr>...><wbr>Alkaliphilus metalliredigens QYMF"	"-"	293826	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Alkaliphilus>Alkaliphilus&nbsp;metalliredigens"
"Lachnospiraceae><wbr>...><wbr>Roseburia hominis A2-183"	"-"	585394	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Roseburia>Roseburia&nbsp;hominis"
"Lachnospiraceae><wbr>Blautia><wbr>Blautia sp. N6H1-15"	"S"	1912897	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Blautia"
"Clostridia><wbr>...><wbr>Halocella sp. SP3-1"	"S"	2382161	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Halanaerobiales>Halanaerobiaceae>Halocella"
"Clostridia><wbr>...><wbr>Anoxybacter fermentans"	"S"	1323375	1	NA	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Halanaerobiales>unclassified&nbsp;Halanaerobiales>Anoxybacter"
"Bacillus gobiensis"	"S"	1441095	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus cohnii"	"S"	33932	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Geobacillus thermodenitrificans><wbr>Geobacillus thermodenitrificans NG80-2"	"-"	420246	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus>Geobacillus&nbsp;thermodenitrificans"
"Paenibacillus physcomitrellae"	"S"	1619311	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Oenococcus oeni PSU-1"	"-"	203123	1	NA	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae>Oenococcus>Oenococcus&nbsp;oeni"
"Tissierellia><wbr>...><wbr>Gottschalkia acidurici 9a"	"-"	1128398	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Gottschalkiaceae>Gottschalkia>Gottschalkia&nbsp;acidurici"
"Actinobacteria><wbr>...><wbr>Mycolicibacterium thermoresistibile"	"S"	1797	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium"
"Actinobacteria><wbr>...><wbr>Thermobispora bispora DSM 43833"	"-"	469371	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Actinobacteria&nbsp;incertae&nbsp;sedis>Thermobispora>Thermobispora&nbsp;bispora"
"Actinobacteria><wbr>...><wbr>Arthrobacter sp. ERGS1:01"	"S"	1704044	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Arthrobacter"
"Streptomyces niveus"	"S"	193462	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Mycoplasma anatis"	"S"	171279	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Mycoplasma pulmonis"	"S"	2107	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Spiroplasma alleghenense"	"S"	216931	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Pleurocapsales><wbr>...><wbr>Stanieria sp. NIES-3757"	"S"	1807358	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Dermocarpellaceae>Stanieria"
"FCB group><wbr>...><wbr>Lacinutrix venerupis"	"S"	1486034	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Lacinutrix"
"FCB group><wbr>...><wbr>Gramella sp. SH35"	"S"	2126553	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Gramella"
"FCB group><wbr>...><wbr>Nonlabens spongiae"	"S"	331648	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Nonlabens"
"FCB group><wbr>...><wbr>Psychroflexus torquis ATCC 700755"	"-"	313595	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Psychroflexus>Psychroflexus&nbsp;torquis"
"FCB group><wbr>...><wbr>Arenibacter algicola"	"S"	616991	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Arenibacter"
"FCB group><wbr>...><wbr>Salegentibacter sp. T436"	"S"	1729720	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Salegentibacter"
"FCB group><wbr>...><wbr>Mucilaginibacter sp. BJC16-A31"	"S"	1234841	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Mucilaginibacter"
"FCB group><wbr>...><wbr>Muribaculum sp. TLL-A4"	"S"	2530390	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Muribaculaceae>Muribaculum"
"Fusobacterium periodonticum"	"S"	860	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Fusobacteriaceae>Fusobacterium"
"Spirochaetes><wbr>...><wbr>Treponema pedis str. T A4"	"-"	1291379	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema>Treponema&nbsp;pedis"
"Brachyspira murdochii><wbr>Brachyspira murdochii DSM 12563"	"-"	526224	1	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Brachyspirales>Brachyspiraceae>Brachyspira>Brachyspira&nbsp;murdochii"
"Viruses><wbr>...><wbr>Clostridium phage phiCD6356"	"S"	864178	1	NA	NA	NA	1	NA	"Viruses>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Opisthokonta><wbr>...><wbr>Thermothelomyces thermophilus ATCC 42464"	"-"	573729	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Sordariales>Chaetomiaceae>Thermothelomyces>Thermothelomyces&nbsp;thermophilus"
"Opisthokonta><wbr>...><wbr>Zygosaccharomyces rouxii"	"S"	4956	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Zygosaccharomyces"
"Opisthokonta><wbr>...><wbr>Lachancea thermotolerans CBS 6340"	"-"	559295	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Saccharomycetaceae>Lachancea>Lachancea&nbsp;thermotolerans"
"Opisthokonta><wbr>...><wbr>Ustilago maydis 521"	"-"	237631	2	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Basidiomycota>Ustilaginomycotina>Ustilaginomycetes>Ustilaginales>Ustilaginaceae>Ustilago>Ustilago&nbsp;maydis"
"Enterobacter"	"G"	547	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae"
"Klebsiella><wbr>Klebsiella sp. WCHKl090001"	"S"	2153354	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella"
"Citrobacter><wbr>Citrobacter sp. SNU WT2"	"S"	2562449	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Citrobacter"
"Yersinia pseudotuberculosis complex"	"-"	1649845	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Yersinia"
"Erwiniaceae><wbr>Erwinia><wbr>Erwinia sp. Ejp617"	"S"	215689	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia"
"Acinetobacter sp. ACNIH2"	"S"	1758189	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Acinetobacter guillouiae"	"S"	106649	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Pseudoalteromonas sp. DL-6"	"S"	1390185	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Legionellales><wbr>...><wbr>Legionella pneumophila"	"S"	446	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Legionellales>Legionellaceae>Legionella"
"Oceanospirillales><wbr>...><wbr>Bacterioplanes sanyensis"	"S"	1249553	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae>Bacterioplanes"
"Vibrionales><wbr>...><wbr>Photobacterium damselae subsp. damselae"	"-"	85581	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Photobacterium>Photobacterium&nbsp;damselae"
"Alphaproteobacteria><wbr>...><wbr>Bartonella elizabethae"	"S"	807	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae>Bartonella"
"Alphaproteobacteria><wbr>...><wbr>Bartonella bovis 91-4"	"-"	1094491	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae>Bartonella>Bartonella&nbsp;bovis"
"Alphaproteobacteria><wbr>...><wbr>Bartonella sp. WD16.2"	"S"	1933904	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae>Bartonella"
"Alphaproteobacteria><wbr>...><wbr>Ochrobactrum"	"G"	528	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Brucellaceae"
"Alphaproteobacteria><wbr>...><wbr>Wolbachia endosymbiont of Trichogramma pretiosum"	"S"	125593	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Alphaproteobacteria><wbr>...><wbr>Azospirillum sp. TSH100"	"S"	652764	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae>Azospirillum"
"Alphaproteobacteria><wbr>...><wbr>Paracoccus denitrificans"	"S"	266	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Campylobacteraceae><wbr>Sulfurospirillum><wbr>Sulfurospirillum sp. JPD-1"	"S"	220622	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Sulfurospirillum"
"Campylobacteraceae><wbr>...><wbr>Arcobacter nitrofigilis DSM 7299"	"-"	572480	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter&nbsp;group>Arcobacter>Arcobacter&nbsp;nitrofigilis"
